text,sentiment,sarcasm,threat
"still no dark mode smh 🙄",2,0,0
"tf is wrong with this thing",0,0,0
"AYO IT ACTUALLY WORKED",1,0,0
"ohhh this clean 😮‍💨",1,0,0
"eh. it’s aiight.",2,0,0
"I'm not mad... just disappointed 🫠",0,1,0
"love how the app pretends 2 care abt feedback",0,1,0
"this gotta be a prank right? 😭",0,1,0
"waiting 8 mins for 1 reply. amazing 🙃",0,1,0
"my guy, this ain’t it 💀",0,0,0
"yo who coded this??? they need a raise",1,1,0
"still crashing. still coping.",0,0,0
"honestly? I vibe with it.",1,0,0
"could be worse I guess",2,0,0
"getting better, ngl",1,0,0
"I WILL find you if this fails again 😡",0,0,1
"love the sarcasm in the bot reply 😂👏",2,1,0
"u guys did WHAT to the layout???",0,0,0
